system,E_cls_elec,E_mod_pauli,E_disp,E_frz,E_pol,E_vct,E_int
Me3SiH_COF2_frzgeom_bond_-0.0005,-7.88791327,9.18974896,-10.47462011,-9.1728,-1.4007,-3.7983,-14.3718
Me3SiH_COF2_frzgeom_bond_-0.0010,-7.88132272,9.18340905,-10.47224962,-9.1702,-1.4000,-3.7977,-14.3678
Me3SiH_COF2_frzgeom_bond_0.0000,-7.89455338,9.19609090,-10.47700004,-9.1755,-1.4014,-3.7990,-14.3759
Me3SiH_COF2_frzgeom_bond_0.0005,-7.90129541,9.20261275,-10.47942811,-9.1781,-1.4022,-3.7997,-14.3800
Me3SiH_COF2_frzgeom_bond_0.0010,-7.90790147,9.20897255,-10.48180226,-9.1807,-1.4029,-3.8004,-14.3841
Me3SiH_ICN_frzgeom_bond_-0.0005,-7.61028422,8.55214083,-9.94426885,-9.0024,-2.4674,-2.9877,-14.4575
Me3SiH_ICN_frzgeom_bond_-0.0010,-7.60233641,8.54565715,-9.94180745,-8.9985,-2.4658,-2.9858,-14.4502
Me3SiH_ICN_frzgeom_bond_0.0000,-7.61829943,8.55864665,-9.94674837,-9.0064,-2.4689,-2.9895,-14.4649
Me3SiH_ICN_frzgeom_bond_0.0005,-7.62625849,8.56514265,-9.94921250,-9.0103,-2.4704,-2.9914,-14.4722
Me3SiH_ICN_frzgeom_bond_0.0010,-7.63428503,8.57166080,-9.95169476,-9.0143,-2.4720,-2.9933,-14.4796
cf3h_h2o_frzgeom_bond_-0.0005,-14.64436530,6.89479062,-3.33515670,-11.0847,-1.5768,-3.8637,-16.5252
cf3h_h2o_frzgeom_bond_-0.0010,-14.63693179,6.88090325,-3.33224846,-11.0883,-1.5748,-3.8604,-16.5235
cf3h_h2o_frzgeom_bond_0.0000,-14.65181084,6.90870486,-3.33806837,-11.0812,-1.5787,-3.8669,-16.5268
cf3h_h2o_frzgeom_bond_0.0005,-14.65926840,6.92264601,-3.34098348,-11.0776,-1.5807,-3.8702,-16.5285
cf3h_h2o_frzgeom_bond_0.0010,-14.66673802,6.93661412,-3.34390205,-11.0740,-1.5827,-3.8734,-16.5302
water_dimer_frzgeom_bond_-0.0005,-21.20278091,11.41388158,-3.78293813,-13.5718,-2.2255,-4.7025,-20.4999
water_dimer_frzgeom_bond_-0.0010,-21.18161523,11.39288536,-3.77985657,-13.5686,-2.2210,-4.6945,-20.4841
water_dimer_frzgeom_bond_0.0000,-21.22440105,11.43534416,-3.78608527,-13.5751,-2.2301,-4.7108,-20.5160
water_dimer_frzgeom_bond_0.0005,-21.24562134,11.45641622,-3.78917387,-13.5784,-2.2345,-4.7189,-20.5318
water_dimer_frzgeom_bond_0.0010,-21.26731885,11.47797887,-3.79233550,-13.5817,-2.2391,-4.7272,-20.5480
